"","resp.new.1","resp.new.2","resp.trt.1","resp.trt.2","label.post.prob.1","label.post.prob.2","label.post.mean.1","label.post.mean.2","fit.post.prob.1","fit.post.prob.2","fit.post.mean.1","fit.post.mean.2"
"1",33,82,26,79,0.101066666666667,0.481166666666667,0.236010961357836,0.528906057091424,0.161761432886124,0.510809421539307,0.257676124572754,0.498166024684906
"2",53,19,46,22,0.169933333333333,0.524533333333333,0.35929687884745,0.148801129136248,0.189113259315491,0.548774182796478,0.374440014362335,0.169836312532425
"3",90,76,96,69,0.8308,0.3108,0.584755110614832,0.488272433970739,0.83143275976181,0.325830161571503,0.563588738441467,0.459751129150391
"4",34,90,24,90,0.0472333333333333,0.6195,0.239179321320122,0.581286255882731,0.0962246060371399,0.654597759246826,0.262487173080444,0.543643474578857
"5",82,68,107,79,0.999266666666667,0.952766666666667,0.532555874639617,0.434781347450167,0.983420550823212,0.955063283443451,0.519702672958374,0.414089322090149
"6",94,16,97,22,0.721766666666667,0.7448,0.612147615984346,0.12595306939795,0.71698534488678,0.758202433586121,0.589819967746735,0.148810505867004
"7",88,63,77,82,0.158166666666667,0.9934,0.568927802658128,0.405082982083704,0.171641319990158,0.994631230831146,0.553783416748047,0.387564241886139
"8",63,80,75,84,0.9266,0.8099,0.420038616899407,0.509400894364623,0.921924591064453,0.821938037872314,0.416536331176758,0.478591501712799
"9",75,63,83,48,0.8732,0.0657,0.489232242480619,0.403610095362119,0.853099942207336,0.0813167691230774,0.482246279716492,0.385997176170349
"10",76,22,76,21,0.5817,0.299933333333333,0.495392040449093,0.166263027473668,0.56910914182663,0.312234342098236,0.495093286037445,0.186073794960976
"11",32,51,50,55,0.973833333333333,0.741933333333333,0.235869217142027,0.334041990006083,0.960831046104431,0.759545505046844,0.26361882686615,0.333072066307068
"12",99,81,104,97,0.815133333333333,0.986666666666667,0.642890285370635,0.52088994965332,0.816258907318115,0.981811285018921,0.613393604755402,0.489597767591476
"13",85,31,85,21,0.6115,0.0403666666666667,0.549454870809257,0.218078679215773,0.602944016456604,0.0624646544456482,0.533875405788422,0.225275963544846
"14",56,87,53,87,0.336733333333333,0.6555,0.377916061099638,0.556147019319153,0.345451653003693,0.665323853492737,0.379798769950867,0.519695997238159
"15",51,55,55,56,0.624033333333333,0.6404,0.351470047664402,0.355404648405629,0.646320402622223,0.62814998626709,0.365684390068054,0.349616646766663
"16",65,68,65,65,0.518033333333333,0.503666666666667,0.431911011978727,0.434087487029209,0.533440113067627,0.502656698226929,0.431454837322235,0.414293348789215
"17",60,43,51,37,0.1275,0.227033333333333,0.402234783741685,0.286287166028056,0.157137513160706,0.239483445882797,0.411124587059021,0.287940621376038
"18",30,52,36,53,0.667066666666667,0.615533333333333,0.223195783413866,0.339817871972443,0.663949489593506,0.615903854370117,0.252241671085358,0.338409662246704
"19",19,38,30,36,0.886166666666667,0.396166666666667,0.15133976946117,0.256199055285799,0.839330554008484,0.394711822271347,0.191737502813339,0.262634038925171
"20",72,83,78,87,0.786666666666667,0.8076,0.475360100634792,0.528950743999316,0.775861442089081,0.816808462142944,0.464698910713196,0.495340287685394
"21",67,70,72,65,0.744766666666667,0.420233333333333,0.443809312911763,0.445675429933218,0.73675549030304,0.418419152498245,0.440043747425079,0.423317968845367
"22",84,63,103,59,0.994166666666667,0.428266666666667,0.545121453721519,0.405149876950361,0.969874680042267,0.439832210540771,0.529239773750305,0.390084117650986
"23",83,82,101,68,0.990133333333333,0.1045,0.543127422908634,0.524886243903196,0.961680054664612,0.133451879024506,0.525175869464874,0.491814106702805
"24",66,56,72,55,0.7786,0.556766666666667,0.437555155197489,0.360608879181805,0.768108487129211,0.538234829902649,0.439388483762741,0.354224562644958
"25",57,68,59,65,0.5741,0.5021,0.384395029472005,0.43382098883962,0.578453660011292,0.50198757648468,0.389443933963776,0.415961384773254
"26",71,58,69,79,0.4549,0.9969,0.466747666491101,0.373822690634389,0.456303924322128,0.989518344402313,0.464216321706772,0.364810675382614
"27",65,38,71,52,0.7754,0.962166666666667,0.431766115096767,0.259032283816437,0.770834624767303,0.970180034637451,0.437179744243622,0.262982845306396
"28",92,53,93,51,0.688866666666667,0.4677,0.591635152805639,0.346480302562163,0.665452778339386,0.479583114385605,0.571027874946594,0.335802614688873
"29",46,74,52,59,0.717333333333333,0.0824333333333333,0.318465530017988,0.471989955910074,0.701058566570282,0.0978500247001648,0.329871356487274,0.450884103775024
"30",31,57,34,62,0.505833333333333,0.790566666666667,0.229251332729308,0.370170228983799,0.519503653049469,0.799765706062317,0.256761014461517,0.364389419555664
"31",58,81,56,76,0.396866666666667,0.430933333333333,0.390422361665892,0.51681394522293,0.409184038639069,0.455719292163849,0.392034322023392,0.486525446176529
"32",70,67,90,64,0.993166666666667,0.5053,0.460582170360095,0.427576353670851,0.969683170318604,0.493634134531021,0.457790344953537,0.406622588634491
"33",43,19,45,19,0.532666666666667,0.342333333333333,0.298344323706293,0.147015450195886,0.534218370914459,0.364232540130615,0.319996058940887,0.167658090591431
"34",44,26,34,29,0.0604666666666667,0.574966666666667,0.306194152993283,0.188494524076848,0.108677446842194,0.58898514509201,0.32824495434761,0.202221661806107
"35",49,23,65,35,0.966933333333333,0.925466666666667,0.335592737593711,0.172886663192515,0.955239295959473,0.939247846603394,0.353750109672546,0.190298572182655
"36",70,44,66,38,0.359933333333333,0.2283,0.459906803121387,0.292939825051758,0.371727108955383,0.247110635042191,0.458837240934372,0.289623558521271
"37",77,69,88,68,0.9298,0.575766666666667,0.503342783861196,0.442811034604053,0.923846185207367,0.593390703201294,0.491881191730499,0.418978750705719
"38",104,78,106,82,0.713666666666667,0.764066666666667,0.673974371391906,0.505718358116063,0.702540636062622,0.798824369907379,0.641991913318634,0.473773658275604
"39",60,54,52,63,0.1529,0.9069,0.402958537549863,0.349564301183392,0.182428598403931,0.895191311836243,0.40623527765274,0.33950662612915
"40",39,53,44,43,0.636,0.142566666666667,0.278641070735978,0.344938341408681,0.636200070381165,0.146956831216812,0.301125884056091,0.341766238212585
"41",54,53,57,62,0.598433333333333,0.899266666666667,0.367895231795268,0.344312514333195,0.61511367559433,0.894530594348907,0.379522919654846,0.336837142705917
"42",30,14,42,21,0.917,0.8145,0.215438394217449,0.111397351293391,0.908702492713928,0.825010180473328,0.254419445991516,0.131959497928619
"43",98,59,97,58,0.5942,0.531766666666667,0.631908347185034,0.38385582796543,0.590955138206482,0.543256521224976,0.605644941329956,0.367115795612335
"44",51,24,39,32,0.0497333333333333,0.811333333333333,0.34793581412378,0.177989068533435,0.0825155377388,0.826651751995087,0.36463874578476,0.196045622229576
"45",54,78,48,86,0.206166666666667,0.908233333333333,0.365063398738899,0.496777550454573,0.229607552289963,0.903514683246613,0.37436518073082,0.472072929143906
"46",36,33,41,34,0.6207,0.524666666666667,0.260601088840322,0.227434147866342,0.628789246082306,0.527137517929077,0.286032557487488,0.240745842456818
"47",92,58,72,41,0.0220666666666667,0.0271,0.592270380565213,0.377401966644887,0.0719841122627258,0.0560612082481384,0.572042286396027,0.361603379249573
"48",44,19,49,23,0.672966666666667,0.601733333333333,0.304902619526333,0.147271776854194,0.681062042713165,0.625897943973541,0.324740141630173,0.168701499700546
"49",89,59,96,58,0.877,0.5532,0.574402463692786,0.381185171355522,0.863653182983398,0.551543354988098,0.557726562023163,0.36538302898407
"50",75,44,81,48,0.821,0.718166666666667,0.488955668285835,0.292803998357997,0.796391427516937,0.722568690776825,0.484340697526932,0.290624111890793
"51",30,93,37,87,0.7713,0.3462,0.214921172985609,0.601996080072649,0.736846089363098,0.366219162940979,0.240729838609695,0.56216835975647
"52",68,82,58,68,0.128266666666667,0.113766666666667,0.450633539344498,0.52273289772739,0.154887825250626,0.13871243596077,0.442985057830811,0.489442646503448
