"","rate.pbo.1","rate.pbo.2","rate.delta.1","rate.delta.2","DNN.global","DNN.reject.1","DNN.reject.2","MAP.global","MAP.reject.1","MAP.reject.2","MAP.robust.1.global","MAP.robust.1.reject.1","MAP.robust.1.reject.2","MAP.robust.2.global","MAP.robust.2.reject.1","MAP.robust.2.reject.2","DNN.bias.1","DNN.bias.2","MAP.bias.1","MAP.bias.2","MAP.robust.1.bias.1","MAP.robust.1.bias.2","MAP.robust.2.bias.1","MAP.robust.2.bias.2","DNN.MSE.1","DNN.MSE.2","MAP.MSE.1","MAP.MSE.2","MAP.robust.1.MSE.1","MAP.robust.1.MSE.2","MAP.robust.2.MSE.1","MAP.robust.2.MSE.2"
"1",0.3,0.2,0,0,0.04786,0.01478,0.03392,0.000409928062436338,0.000236604191037046,0.000173364890259014,0.00923727407015473,0.00532599572187394,0.00393222134232738,0.0222696849826141,0.0118150535939016,0.0105796302875637,0.0292850776408613,0.0255007578496635,0.0484632956937823,0.0419737502394583,0.0202460756355278,0.0234716025063239,0.0102218863845989,0.0134305624982647,0.00173211842915711,0.00128704213459474,0.00372106840847998,0.00255000758984379,0.00247944053722573,0.00192077011617463,0.00186376303481905,0.0014835145925504
"2",0.4,0.3,0,0,0.05131,0.01277,0.03933,0.00258019723484837,0.000464987808112321,0.00211619343088104,0.00865961013108252,0.00247738548258818,0.00619757843934722,0.0187235283009616,0.00742733820790679,0.0113807185386907,0.0072939969053864,0.00461856038168074,0.0136960306396708,-0.00472422030588959,0.0104309865090939,-0.00304978881983364,0.00677393045515851,-0.000990729524653289,0.000965607171311107,0.000818228252093778,0.000447322813266737,0.000236150714506493,0.000653068124419457,0.000432396383697912,0.000941923159157478,0.000723580873345552
"3",0.5,0.4,0,0,0.04916,0.00418,0.04529,0.0501782147296751,0.0204695527047372,0.0303294931841793,0.0511266811924131,0.0251929884753808,0.0266039250953595,0.0505190121394471,0.0258194560323624,0.0253541874347937,-0.0139039546561241,-0.017182436324954,-0.0417889963751242,-0.0459091566655482,-0.0241516010613937,-0.0189220523216651,-0.0124916438902993,-0.00787656198755515,0.00123348541442761,0.0013250339761939,0.00255196520425045,0.00341719702833552,0.00223186965512118,0.0026056570449895,0.00193183500803288,0.00206992777735468
"4",0.4,0.3,0.1,0,0.32663,0.30135,0.04295,0.157295306335051,0.1554984976785,0.00212765596225899,0.2596514012698,0.255033937199587,0.00619822069861249,0.336952973209765,0.329127484367812,0.0116646436686686,0.00714996602922674,0.00456532552361488,0.0141247083645183,-0.00479891316979225,0.0106942644646933,-0.00312993681832507,0.00685083034378453,-0.00107051105819184,0.000963259414325016,0.000821261730394575,0.000468766109609171,0.000240334392149872,0.000668722701531907,0.000438455257900817,0.000951291189958111,0.000730583914807376
"5",0.4,0.3,0,0.1,0.55244,0.01183,0.54797,0.33180776898515,0.000443042218944894,0.331511600401253,0.413111174770795,0.00248403904511564,0.411649689627624,0.441852056751426,0.00742733820922077,0.437675482375693,0.00746365872502325,0.00444160958975554,0.0143164698680209,-0.00558505422429201,0.0109212641111106,-0.00377985927370011,0.00715779816746132,-0.00153948162893791,0.000970920374869362,0.000816403224689858,0.000465887462093998,0.000248533752459236,0.000671531298472491,0.000441895942045026,0.000955914601166271,0.000729670734778632
"6",0.3,0.2,0.1,0.1,0.74884,0.40468,0.58232,0.0868302977483951,0.0335689179221155,0.0551114102329618,0.321881587925281,0.167125992726728,0.185809130609328,0.515245415585435,0.285197827101205,0.321833924414779,0.0292835950191319,0.0255226073096692,0.0487515653551024,0.0419091589318853,0.0199440376657312,0.0234233474142988,0.0100302055605045,0.0133987237316134,0.00173896868152684,0.00128789569603669,0.00391526730852775,0.00255043005973082,0.00253316086248598,0.00192152964275658,0.00188435535988522,0.00148154361642959
"7",0.3,0.2,0.12,0.12,0.87446,0.5505,0.72501,0.182576081483244,0.0793089775189917,0.112162605524246,0.482050694535052,0.256154186615937,0.303687274774618,0.680373615840569,0.406099684677689,0.461818126858598,0.0291608989015222,0.0254905519650876,0.0441491624849522,0.0444552923477148,0.0193774122198839,0.0238242519691448,0.00977513580633677,0.0135142185730822,0.00172760919657508,0.00128934889738912,0.00369915348013323,0.00268802393662429,0.00249886143350912,0.00196686413347314,0.00186958319801562,0.00150300582857553
"8",0.4,0.3,0.1,0.1,0.6971,0.31874,0.56661,0.425396298231077,0.155645722805124,0.319475583545477,0.556844085914909,0.255023130324759,0.405141378042681,0.622368818185585,0.329126264904091,0.43710543123226,0.00748593094736333,0.00452688640341165,0.0141524456668433,-0.00453648093511216,0.0108153635802336,-0.00295917617829916,0.00711341180722214,-0.00099208820561858,0.000970295902651013,0.000818919394841474,0.000455459262034307,0.000241580907292725,0.000662767996921348,0.000437950530492175,0.000949109379860467,0.000728705661941096
"9",0.4,0.3,0.12,0.12,0.82553,0.44617,0.70303,0.636486512189082,0.290208848824677,0.487858524005285,0.745570820824614,0.412261367399354,0.567104891421584,0.788276160186448,0.485569756945743,0.588430418560711,0.00733301607906817,0.00464176148712636,0.0140443369662312,-0.00450245803937072,0.0106852741959186,-0.00291457585806176,0.00694879442193153,-0.000911222911939902,0.000969467502476872,0.000817998443241675,0.000465981682118837,0.000246877008647039,0.000673750006032436,0.000440536234293664,0.000959605095044174,0.000729412966630736
"10",0.5,0.4,0.1,0.1,0.62898,0.17635,0.56281,0.686656566302786,0.463105069092275,0.416378483649592,0.610637223398833,0.404833252219485,0.345792119514117,0.616891659400462,0.396723432651141,0.36495405037339,-0.0138622089317441,-0.0172619047033787,-0.0425350709030885,-0.044012294167499,-0.0241826139487373,-0.0187834475839596,-0.0124675120011307,-0.00789024376258074,0.0012389774897289,0.00132202634328622,0.0025022621808349,0.00342519357042943,0.00220396144880137,0.00261429480893905,0.00192175206167124,0.0020664110022353
"11",0.5,0.4,0.12,0.12,0.76815,0.29236,0.69546,0.825426832556403,0.62992548161886,0.528275634303997,0.743184947677269,0.528326991767655,0.455523110628741,0.761432688534061,0.529017500128957,0.493468841132612,-0.01396531308949,-0.0171967621731758,-0.0425807714579557,-0.0444292698175688,-0.0243301788038147,-0.0187025408594775,-0.0126441533143669,-0.00776442363722657,0.00124238948554354,0.00132074453862626,0.00246379073389761,0.00364446254794832,0.00217757813238931,0.00266468900429936,0.00190768643071207,0.00208245740391731
