"","rate.pbo.1","rate.pbo.2","rate.delta.1","rate.delta.2","DNN.global","DNN.reject.1","DNN.reject.2","MAP.global","MAP.reject.1","MAP.reject.2","MAP.robust.1.global","MAP.robust.1.reject.1","MAP.robust.1.reject.2","MAP.robust.2.global","MAP.robust.2.reject.1","MAP.robust.2.reject.2","DNN.bias.1","DNN.bias.2","MAP.bias.1","MAP.bias.2","MAP.robust.1.bias.1","MAP.robust.1.bias.2","MAP.robust.2.bias.1","MAP.robust.2.bias.2","DNN.MSE.1","DNN.MSE.2","MAP.MSE.1","MAP.MSE.2","MAP.robust.1.MSE.1","MAP.robust.1.MSE.2","MAP.robust.2.MSE.1","MAP.robust.2.MSE.2"
"1",0.3,0.2,0,0,0.04894,0.03045,0.0192,0.000168304885911574,7.54426849801386e-05,9.28692072337653e-05,0.00900415895010143,0.00333271641977703,0.00569040704331285,0.0213546659502832,0.00943078888492581,0.0120373992362783,0.0254817421834171,0.0294092730760574,0.0484933053154811,0.0496612779107371,0.0267901301869782,0.0182798978906214,0.0148417998918096,0.00979202370041743,0.0014985759944621,0.00151016243541273,0.00304060657019259,0.00372413309228032,0.00231176144332232,0.00207392365743146,0.00183278187604163,0.00147694332494136
"2",0.4,0.3,0,0,0.0492,0.03183,0.01787,0.00255214547892069,0.00227917023800178,0.000273598819204911,0.00897951772822814,0.00697985075960297,0.00201372245080311,0.0185919127245255,0.0121456953058992,0.00652547383555953,0.00419225426912306,0.00606158357173203,-0.0104318802278314,0.0152151403700312,-0.00739707331332418,0.0118151995806346,-0.00404759171110591,0.00816261010723118,0.000949754009927251,0.000816685785901137,0.000312365623099398,0.000417447090129682,0.000541228346716457,0.000584461241295704,0.000862890389661505,0.000822964620799444
"3",0.5,0.4,0,0,0.04841,0.03743,0.01167,0.0480258267022929,0.0258228561592381,0.0227915124917815,0.0507302793143105,0.0238968231964118,0.0274903890854749,0.0499101859541035,0.0231117009733417,0.027432496640059,-0.015116675426662,-0.0163688993361593,-0.0496026007105273,-0.0458086151421666,-0.0197509543748686,-0.0238698416987217,-0.00861168731818651,-0.0116215370806639,0.00138554613618558,0.00131589304580748,0.00413461996037712,0.00274249788233716,0.00286498079408042,0.00230408415180718,0.0021864603542489,0.00194497486950621
"4",0.4,0.3,0.1,0,0.49262,0.48316,0.01879,0.294311941260292,0.29411672484075,0.000276556233037807,0.377439226539041,0.376183022100152,0.00201373877818699,0.407785966185967,0.403896105821228,0.00652547383555953,0.00405917399644851,0.00601341026067737,-0.0107520689264744,0.0150503852926483,-0.00772245301208946,0.0116528068598824,-0.00432669736722174,0.00803110843622978,0.000948314474098835,0.000819537214310833,0.000326702692191403,0.000405573251077711,0.000552810597914579,0.000575779064618666,0.000870731550717464,0.000818699989649992
"5",0.4,0.3,0,0.1,0.42239,0.02505,0.40851,0.162430772323489,0.00234368694180162,0.160463160796286,0.280570602683038,0.00715164132504379,0.275388440711023,0.366383205015339,0.0124885939689741,0.358370150344619,0.00437371328532693,0.00588546929851175,-0.0108495078369817,0.014477534460234,-0.00763555746344147,0.0112155251619107,-0.00410610467148748,0.00770330093991889,0.000953854215239872,0.000815395866215938,0.000316173596252677,0.000397715992213808,0.000549922093538924,0.000569069334595154,0.000870323928200698,0.00081311414749594
"6",0.3,0.2,0.1,0.1,0.71824,0.45141,0.47863,0.0629538769442656,0.0300299380624663,0.0339432526567192,0.309142986837618,0.129798980261309,0.206094916586244,0.506249797812819,0.248153955333286,0.343282836041179,0.0254781141740084,0.029427311053127,0.0464487686858464,0.0487683086934078,0.0260637847093409,0.018288649422637,0.0145204058028557,0.00981006939364271,0.00150463550637208,0.001510708942641,0.00283073233932466,0.00382502814533769,0.0022720954393884,0.0020836777244519,0.00182884084626829,0.00147888725252798
"7",0.3,0.2,0.12,0.12,0.85107,0.58574,0.62951,0.135576919474057,0.0714101986633527,0.069101255170303,0.460951764109256,0.22335703520981,0.305925296012475,0.669733552278822,0.37285357662129,0.473382235137548,0.025359370585233,0.029394538423568,0.0475394894688198,0.0484703578169667,0.0262167818128906,0.0182003188851449,0.0144493638428506,0.00978039499120559,0.00149446346843039,0.00151226127499163,0.00295431062321818,0.00354528310037125,0.00228315348183086,0.00206558710316271,0.00182402434358687,0.00147929938723264
"8",0.4,0.3,0.1,0.1,0.67621,0.44348,0.42834,0.410540075147475,0.296232698873254,0.162422118918019,0.550193061985249,0.379244048416612,0.275388440711023,0.615115381236819,0.403896105821228,0.354332990403593,0.00438520500749345,0.00597346580207347,-0.0110400124254552,0.0150446420121504,-0.00775361895462778,0.01165073877608,-0.00416209363706366,0.00800273556029218,0.000953342116275578,0.000818075767814898,0.00032280542980157,0.000408837948507681,0.000556241524487712,0.000576030599607041,0.000875500532051493,0.000817306399155198
"9",0.4,0.3,0.12,0.12,0.81299,0.57661,0.57543,0.626239221290537,0.462576582817866,0.30453201933552,0.742720615154526,0.536103051048935,0.445395393465687,0.785748703415437,0.551369256428979,0.522432870116834,0.00423286600559947,0.00608476327389479,-0.0104981305333909,0.015034188442369,-0.00742688868326119,0.0116579804179809,-0.0040535752947769,0.00806928291337972,0.00095267896061259,0.000817227706468302,0.00030697567968418,0.000396857885581867,0.00054243775320441,0.000565479987799379,0.000866414082072739,0.000807970000592242
"10",0.5,0.4,0.1,0.1,0.64026,0.45149,0.36961,0.679836307170447,0.419569087111557,0.448403443510103,0.590529193720467,0.32648524229934,0.392038850525796,0.606993721874244,0.354571734452307,0.391092241998014,-0.0150736086803674,-0.016460281085372,-0.0524039989665013,-0.0434118976158734,-0.0200920772707583,-0.0236775883084558,-0.00872829881184295,-0.0116866633639787,0.0013916129813413,0.00131289085615522,0.00434883553802585,0.00266476564214528,0.00292100239770546,0.00226812031390763,0.00221444244553513,0.0019242178405772
"11",0.5,0.4,0.12,0.12,0.78641,0.58123,0.52631,0.833260563859926,0.574061010368273,0.608536808794518,0.725829806067475,0.441298393567097,0.509272587055912,0.75042458660949,0.485087716579064,0.515304991886386,-0.0151931831198931,-0.0163852380755544,-0.0537826496928526,-0.0436580452625089,-0.0205251451294153,-0.0235208596212009,-0.00901474503966043,-0.0115617560374789,0.00139591272693225,0.00131119074312802,0.00427516721636741,0.00257482988893817,0.00289241685394909,0.00224216305638463,0.00220541162363347,0.00191504165432641
