"","resp.new.1","resp.new.2","resp.trt.1","resp.trt.2","label.post.prob.1","label.post.prob.2","label.post.mean.1","label.post.mean.2","fit.post.prob.1","fit.post.prob.2","fit.post.mean.1","fit.post.mean.2"
"1",57,31,51,25,0.230433333333333,0.1166,0.380838454958343,0.22296562544146,0.249588906764984,0.10042130947113,0.388386011123657,0.23561829328537
"2",55,64,47,73,0.154033333333333,0.909966666666667,0.369890336375928,0.41248150010666,0.172541320323944,0.90887725353241,0.375542670488358,0.400452882051468
"3",49,43,59,32,0.865,0.0598666666666667,0.335014721512171,0.291973835846929,0.867929816246033,0.0539922118186951,0.350418746471405,0.296025276184082
"4",52,33,46,26,0.208466666666667,0.102166666666667,0.351412867086343,0.234796223698626,0.229443281888962,0.0836262404918671,0.361648142337799,0.24641178548336
"5",39,18,34,21,0.202733333333333,0.526066666666667,0.27148605957962,0.141886540254491,0.228293299674988,0.516462504863739,0.288638591766357,0.164760708808899
"6",30,71,35,72,0.6435,0.652633333333333,0.219619478443633,0.458345603145167,0.658105075359344,0.650021433830261,0.244879961013794,0.441559255123138
"7",54,82,50,92,0.3082,0.9411,0.362491076171491,0.523129353551332,0.295742750167847,0.939679324626923,0.371549993753433,0.50144374370575
"8",96,37,92,28,0.460733333333333,0.0877333333333333,0.617273216710006,0.253429841044062,0.480069160461426,0.0794696509838104,0.603914618492126,0.261878192424774
"9",91,43,91,42,0.652133333333333,0.437733333333333,0.583747388389419,0.290813533264515,0.657900393009186,0.440335065126419,0.575151920318604,0.296472698450089
"10",103,84,95,93,0.2589,0.902666666666667,0.666641366095171,0.545251123481778,0.278439402580261,0.905110478401184,0.649315237998962,0.520020484924316
"11",40,20,37,21,0.276,0.399033333333333,0.279293787141116,0.155055886976298,0.317385345697403,0.371190905570984,0.29485684633255,0.176150351762772
"12",35,79,25,79,0.0443333333333333,0.632466666666667,0.248553298840778,0.50698757720835,0.078430712223053,0.630329191684723,0.270419120788574,0.487405955791473
"13",72,60,52,65,0.0154,0.7941,0.467704780608385,0.389167077860744,0.0455378293991089,0.785890698432922,0.469607174396515,0.385388165712357
"14",90,62,88,71,0.550966666666667,0.892266666666667,0.578687548468869,0.40385450972479,0.55547171831131,0.890977621078491,0.569242000579834,0.392457276582718
"15",39,58,41,62,0.504666666666667,0.751533333333333,0.275919362953241,0.377365470944382,0.522734045982361,0.737732350826263,0.297956973314285,0.372761398553848
"16",82,36,81,31,0.591133333333333,0.188933333333333,0.526915002875381,0.251515918998486,0.59277468919754,0.182745277881622,0.519854128360748,0.256775319576263
"17",29,74,30,67,0.426933333333333,0.301233333333333,0.212795579369447,0.477801075852529,0.4398073554039,0.268639862537384,0.239612460136414,0.458718597888947
"18",63,72,63,76,0.538066666666667,0.7917,0.415638043425161,0.460909035775334,0.544300615787506,0.791671633720398,0.42093151807785,0.445620715618134
"19",109,85,104,80,0.378533333333333,0.365,0.707085889204866,0.552952062948299,0.392770111560822,0.374034941196442,0.685935974121094,0.523350238800049
"20",84,36,85,31,0.671666666666667,0.2028,0.541249750207321,0.24944505955338,0.681538879871368,0.187002182006836,0.530358791351318,0.255247712135315
"21",77,12,64,10,0.0826,0.1723,0.505454416942357,0.103080647523038,0.121962904930115,0.115357041358948,0.501830816268921,0.125966817140579
"22",85,11,67,14,0.0262,0.552666666666667,0.556209967733136,0.0948058167161969,0.0557217001914978,0.533525288105011,0.547335684299469,0.116243198513985
"23",58,45,52,42,0.242033333333333,0.344033333333333,0.385452054169498,0.303358901215623,0.252870261669159,0.324684143066406,0.392607480287552,0.308253318071365
"24",45,95,37,95,0.126333333333333,0.649633333333333,0.307459510971297,0.609603934667904,0.145107626914978,0.65597003698349,0.32274541258812,0.575901865959167
"25",83,53,70,57,0.1199,0.724233333333333,0.532908698664247,0.349674198850588,0.132663607597351,0.718908429145813,0.526772022247314,0.348517537117004
"26",88,48,74,43,0.1011,0.275133333333333,0.565232724225699,0.319644784202154,0.12191116809845,0.257432550191879,0.555266559123993,0.322650969028473
"27",97,34,91,36,0.374133333333333,0.549466666666667,0.623197222347401,0.237376428075809,0.392796009778976,0.559470176696777,0.608474969863892,0.243612825870514
"28",50,52,52,51,0.558333333333333,0.498766666666667,0.340801018948804,0.342187750854028,0.588857471942902,0.481315612792969,0.357662558555603,0.340509474277496
"29",37,34,44,30,0.735133333333333,0.221866666666667,0.264463242596399,0.238999385367998,0.732457399368286,0.193845599889755,0.285157442092896,0.24833770096302
"30",69,94,71,82,0.648833333333333,0.164633333333333,0.452761900234398,0.601488730324707,0.641944944858551,0.160774052143097,0.454241424798965,0.572634398937225
"31",105,29,97,27,0.2666,0.325933333333333,0.678650691495713,0.20447577970956,0.303543388843536,0.324462592601776,0.657428324222565,0.217061161994934
"32",37,77,45,77,0.790333333333333,0.628966666666667,0.261826501430913,0.494831753656638,0.791711807250977,0.635225117206573,0.282092392444611,0.475738048553467
"33",67,85,61,80,0.277,0.4239,0.44067336563396,0.543130176404826,0.274516582489014,0.41987806558609,0.444264262914658,0.52019339799881
"34",56,81,56,73,0.502766666666667,0.299233333333333,0.374666642214682,0.516628127484272,0.515186905860901,0.288442432880402,0.383201211690903,0.496318936347961
"35",63,23,78,24,0.966666666666667,0.399666666666667,0.416544748416737,0.175296320131529,0.981723248958588,0.396086096763611,0.423212856054306,0.190480202436447
"36",51,61,55,73,0.669133333333333,0.958966666666667,0.344997727482773,0.392936336396056,0.683808207511902,0.950243234634399,0.35734498500824,0.383770853281021
"37",60,31,53,32,0.218733333333333,0.432,0.397589584410783,0.225066893182883,0.234068274497986,0.453026950359344,0.403941303491592,0.235963642597198
"38",80,83,97,87,0.9871,0.7921,0.519347663366972,0.53331560295619,0.991940379142761,0.811655461788177,0.514232099056244,0.510688364505768
"39",63,65,75,61,0.936333333333333,0.424766666666667,0.416119766353582,0.418435596905168,0.944379687309265,0.407480359077454,0.421411216259003,0.40904688835144
"40",47,68,53,64,0.740766666666667,0.431866666666667,0.321553647364071,0.4366818065322,0.739283323287964,0.412217020988464,0.336395800113678,0.42437869310379
"41",102,82,108,76,0.859366666666667,0.330966666666667,0.660106450666634,0.531546406525568,0.867304265499115,0.337628483772278,0.643948137760162,0.507371246814728
"42",86,33,88,29,0.7144,0.228833333333333,0.553895751060009,0.231075253134026,0.720367193222046,0.206378221511841,0.542402744293213,0.239300042390823
"43",80,83,93,75,0.961666666666667,0.291433333333333,0.518981131179924,0.530658524119595,0.971115291118622,0.282615810632706,0.514232099056244,0.510688364505768
"44",35,21,36,17,0.475033333333333,0.1469,0.246562738988056,0.158977673055862,0.480736374855042,0.109287858009338,0.269956588745117,0.178742110729218
"45",41,42,38,55,0.2606,0.945666666666667,0.287909016740365,0.285112870353508,0.291139423847198,0.949875593185425,0.309271037578583,0.288894295692444
"46",32,57,39,58,0.7208,0.616633333333333,0.234074888971767,0.372146156724044,0.724620282649994,0.610733449459076,0.259537667036057,0.367515057325363
"47",73,80,80,88,0.844633333333333,0.900933333333333,0.475551234324568,0.511033018694773,0.845157623291016,0.914855659008026,0.476010173559189,0.492313146591187
"48",83,50,101,56,0.993533333333333,0.788733333333333,0.533196342445948,0.331828004283078,0.996642410755157,0.798524737358093,0.528364419937134,0.335494786500931
"49",82,92,78,78,0.395133333333333,0.101533333333333,0.534281621454838,0.591639133418015,0.421001881361008,0.0992467701435089,0.525890231132507,0.56298041343689
"50",83,96,67,76,0.0468666666666667,0.0257,0.54252230952027,0.617645142784364,0.0532295703887939,-0.00844752788543701,0.532472014427185,0.585911273956299
"51",46,47,32,42,0.0191666666666667,0.268166666666667,0.317399916367488,0.313191735212599,0.0458317399024963,0.226695358753204,0.336700558662415,0.314457833766937
"52",50,25,39,20,0.0685333333333333,0.118266666666667,0.338119042730872,0.187118895125476,0.0819252729415894,0.0888571739196777,0.351382493972778,0.203711435198784
"53",83,32,86,42,0.749366666666667,0.875633333333333,0.534860981602935,0.227200043801422,0.74406498670578,0.870071351528168,0.526029348373413,0.235331594944
"54",47,23,45,29,0.367333333333333,0.692366666666667,0.320563140965749,0.174868372312782,0.374106168746948,0.682371973991394,0.334676533937454,0.192689195275307
"55",47,55,48,63,0.491633333333333,0.873233333333333,0.323652611686921,0.359697348856909,0.515002965927124,0.869957983493805,0.341403901576996,0.356983006000519
"56",44,31,45,36,0.478466666666667,0.6724,0.305205124718664,0.222658222338391,0.500657737255096,0.667521715164185,0.321414083242416,0.234213560819626
"57",95,60,99,63,0.814966666666667,0.6967,0.6096101183971,0.392229775715302,0.82361888885498,0.712545037269592,0.596225559711456,0.384628236293793
"58",64,64,77,63,0.950733333333333,0.558333333333333,0.420972094007161,0.412848011887953,0.961004197597504,0.552217066287994,0.425870805978775,0.403701305389404
"59",48,80,54,85,0.742333333333333,0.831,0.327170751929459,0.511796658198532,0.744335472583771,0.840739011764526,0.337151527404785,0.488948166370392
"60",59,70,58,71,0.482233333333333,0.673933333333333,0.390928003616596,0.448513650136247,0.479823708534241,0.668339490890503,0.398321986198425,0.435564279556274
"61",72,25,75,32,0.702866666666667,0.7426,0.470262390416969,0.187338532547311,0.707739949226379,0.735085487365723,0.469177186489105,0.20195060968399
"62",98,33,110,36,0.972766666666667,0.605233333333333,0.628621976278975,0.230560325473427,0.980723261833191,0.611765623092651,0.614711165428162,0.238378524780273
"63",50,37,45,38,0.2311,0.4868,0.340616562766756,0.258059179757725,0.248520374298096,0.491405159235001,0.351618140935898,0.266614139080048
"64",65,35,64,35,0.511533333333333,0.413333333333333,0.426523541229187,0.247101313330554,0.519044160842896,0.417167276144028,0.432083487510681,0.256310999393463
"65",48,54,54,44,0.7372,0.123133333333333,0.32919000449493,0.355532553218411,0.74091511964798,0.11394989490509,0.346908062696457,0.351836919784546
"66",102,57,103,63,0.6994,0.8025,0.656560899311045,0.375056875647894,0.71001785993576,0.8047856092453,0.637474596500397,0.368413209915161
"67",49,26,56,20,0.7912,0.0897666666666667,0.332200686443999,0.193762140051315,0.77308052778244,0.0861949622631073,0.345120519399643,0.209656253457069
