"","resp.new.1","resp.new.2","resp.trt.1","resp.trt.2","label.post.prob.1","label.post.prob.2","label.post.mean.1","label.post.mean.2","fit.post.prob.1","fit.post.prob.2","fit.post.mean.1","fit.post.mean.2"
"1",117,145,137,149,0.965866666666667,0.687066666666667,0.59567337656603,0.72193063253098,0.953530192375183,0.666257500648499,0.617808759212494,0.718205809593201
"2",149,147,153,152,0.6077,0.738166666666667,0.750916842948641,0.729765303885401,0.600325107574463,0.727522492408752,0.752250730991364,0.726932525634766
"3",134,151,133,147,0.362966666666667,0.3437,0.679251853551428,0.749356936435895,0.374655455350876,0.366481900215149,0.690835237503052,0.746856391429901
"4",182,137,179,144,0.364966666666667,0.773566666666667,0.901271736596088,0.684126361978345,0.362903386354446,0.773527860641479,0.896363019943237,0.679706633090973
"5",173,137,173,126,0.519933333333333,0.1113,0.859806672213147,0.684747123028024,0.509392261505127,0.122379958629608,0.854758679866791,0.681845784187317
"6",158,162,162,159,0.653533333333333,0.424066666666667,0.79175003527623,0.800365208195451,0.629270195960999,0.431884616613388,0.789892613887787,0.793454170227051
"7",168,129,166,133,0.388166666666667,0.643433333333333,0.836872691200918,0.646666588727218,0.38676729798317,0.643921256065369,0.833977222442627,0.645328104496002
"8",151,107,147,103,0.262533333333333,0.278933333333333,0.759932662304486,0.543394027473239,0.276283353567123,0.286222636699677,0.76511287689209,0.559663772583008
"9",160,145,155,155,0.2276,0.879366666666667,0.802144997327611,0.72076461574242,0.237756192684174,0.880924701690674,0.797153770923615,0.715220749378204
"10",164,132,162,152,0.3668,0.985466666666667,0.819193456614947,0.659329458483241,0.36562979221344,0.962884247303009,0.816993296146393,0.660314500331879
"11",146,150,158,153,0.8851,0.667466666666667,0.736855141704346,0.744410085370178,0.892057776451111,0.639322400093079,0.739624202251434,0.739009380340576
"12",136,107,129,100,0.173533333333333,0.209166666666667,0.687759406679094,0.539850316374684,0.183500289916992,0.189985692501068,0.704070031642914,0.560723662376404
"13",132,118,128,121,0.2508,0.592366666666667,0.669736333416121,0.592732567688914,0.269775688648224,0.581482410430908,0.686700463294983,0.60433429479599
"14",184,101,180,113,0.3019,0.8547,0.910942510125528,0.512666186424321,0.314806342124939,0.83746874332428,0.908309280872345,0.531531274318695
"15",147,107,141,119,0.194166666666667,0.8564,0.739881440099652,0.542480491326977,0.219013869762421,0.832327723503113,0.749951422214508,0.559737980365753
"16",146,112,133,107,0.0532333333333333,0.260766666666667,0.73582461187376,0.566117852619449,0.0528249740600586,0.263940572738647,0.745775580406189,0.580865204334259
"17",156,115,164,128,0.812366666666667,0.891033333333333,0.782551569537417,0.579983026439812,0.812197923660278,0.872868180274963,0.785165429115295,0.5927854180336
"18",143,137,148,127,0.636933333333333,0.142966666666667,0.722104496208673,0.682951756333017,0.627983927726746,0.138098120689392,0.731049954891205,0.683152079582214
"19",167,116,165,125,0.381466666666667,0.782966666666667,0.832858746583736,0.586156638424057,0.391876310110092,0.776373982429504,0.830458700656891,0.595954060554504
