"","rate.pbo.1","rate.pbo.2","rate.delta.1","rate.delta.2","DNN.global","DNN.reject.1","DNN.reject.2","MAP.global","MAP.reject.1","MAP.reject.2","MAP.robust.1.global","MAP.robust.1.reject.1","MAP.robust.1.reject.2","MAP.robust.2.global","MAP.robust.2.reject.1","MAP.robust.2.reject.2","DNN.bias.1","DNN.bias.2","MAP.bias.1","MAP.bias.2","MAP.robust.1.bias.1","MAP.robust.1.bias.2","MAP.robust.2.bias.1","MAP.robust.2.bias.2","DNN.MSE.1","DNN.MSE.2","MAP.MSE.1","MAP.MSE.2","MAP.robust.1.MSE.1","MAP.robust.1.MSE.2","MAP.robust.2.MSE.1","MAP.robust.2.MSE.2"
"1",0.7,0.55,0,0,0.04844,0.03012,0.01917,0.0100461824829142,0.00516763066181449,0.00490389333063742,0.0214369535475454,0.0114051131934072,0.0101475745909869,0.0325681742075179,0.0166199915817733,0.016217721012447,0.0124573801147938,0.0167093121489882,0.0142716019200955,0.0193306442977118,0.00745256281012929,0.011401684195211,0.00240035928113669,0.00527975379740331,0.000933249260279906,0.00119903508174235,0.00134121596712415,0.00163094046962371,0.00126073914172592,0.00151305648402081,0.00115613570784894,0.00137004658763902
"2",0.8,0.65,0,0,0.04936,0.02893,0.02103,0.0149049625934818,0.00712886990182735,0.00783192546940666,0.0206267569487257,0.00982766364365022,0.0109062765223417,0.0308546401767881,0.0149753402087074,0.0161207131316338,-6.20798975229375e-05,0.00345946811199183,0.000515582061490494,0.000184829412307241,-0.000185104245176038,-0.000212679515400827,-0.00121604511174778,-0.000734560709420351,0.000601370814861541,0.000881297634819658,0.00039492966252609,0.000524409471507569,0.000463445046999891,0.000637416065853171,0.000572291666197704,0.000807989644140894
"3",0.9,0.75,0,0,0.0481,0.02822,0.02053,0.050061310937488,0.02351108481354,0.027189480301349,0.0501476827505785,0.0235287252843307,0.027260358963451,0.0503104079205711,0.0236151426431242,0.0273409251242511,-0.00792270475029944,0.000529877621531449,-0.0116266546577418,-0.0148710669509715,-0.00911794144192613,-0.0106505226072932,-0.00663312723148257,-0.00658210119677594,0.000452878232679987,0.000905805918012133,0.000647211007923389,0.00125692014974433,0.000597278412879085,0.00117201718025138,0.000536072741576471,0.00106475930288799
"4",0.7,0.55,0.05,0.05,0.33862,0.22318,0.15536,0.114972684648077,0.0656189388490374,0.0528197197599943,0.177994589694538,0.100235700547994,0.0864213985750519,0.248924637373644,0.144046127475928,0.122528226420012,0.0126042394697666,0.0165758998766541,0.0160963680043247,0.018924898548089,0.00823548733025881,0.011069839641251,0.00279832786018064,0.005035346806053,0.000940836908264476,0.00120402222459603,0.00138305336965825,0.00162166131924681,0.00129621110504271,0.00151999302543578,0.00117701691669066,0.00138237394001871
"5",0.7,0.55,0.0600000000000001,0.0600000000000001,0.43801,0.29882,0.2119,0.169265020332023,0.102080951368248,0.0748219664858979,0.245516541538844,0.14489768278777,0.117668794395398,0.335535909839058,0.201189111734753,0.168183483823139,0.0126411890882254,0.0166339805477858,0.014764648264282,0.0197023688568532,0.00793692341879859,0.0115000798647811,0.00278847228711165,0.00527107151449191,0.000941951742524548,0.00120654326949999,0.00132564570911373,0.00166248744663008,0.00125871499753235,0.00154453566580982,0.00115997201396703,0.00139406500539725
"6",0.7,0.55,0.0700000000000001,0.0700000000000001,0.5449,0.3844,0.28063,0.246175097924543,0.153698038247018,0.109271942943359,0.338750709808548,0.210335088150987,0.162620397247832,0.433868667995544,0.270743396968845,0.223687067554368,0.0125716420096159,0.0166541657096148,0.0149466140454083,0.019289065960702,0.00786902282926893,0.01121000267282,0.00267916883206243,0.00511064850433252,0.000937508530289339,0.00120472714445983,0.0012657898462988,0.00169473094067417,0.00122863828053009,0.00155662503516072,0.00114597934534455,0.00139589026049298
"7",0.7,0.55,0.08,0.08,0.64942,0.47501,0.35944,0.342539204861854,0.225466202277381,0.151152865025006,0.454788996219211,0.303077280011004,0.217688004504434,0.53915386857671,0.352362330359683,0.288419817088105,0.0125547224509717,0.0166879040572047,0.0142835507552583,0.0191773878858206,0.00749184279948534,0.0112759480649383,0.00248667510975631,0.00519117325215124,0.0009360584434893,0.00120234495767012,0.00130750660129486,0.00162129515877197,0.00125121640240132,0.00150684400197486,0.00115539874377719,0.00136900477595728
"8",0.8,0.65,0.05,0.05,0.38471,0.2705,0.15901,0.265841950906452,0.166947506365317,0.118713340751974,0.302219975952969,0.192110790939942,0.136292431905526,0.346235793401327,0.223061823346094,0.158537672309674,6.07152599095828e-05,0.00344413907289498,0.000833872440261008,0.000809808329552686,0.000108895837847567,0.000284663267756224,-0.000969356104746466,-0.000424596213533746,0.000608041901696443,0.000882254111243039,0.000410524886985045,0.000506122044496266,0.000477339341749753,0.000620886542355081,0.000583817104227761,0.000795322378705145
"9",0.8,0.65,0.0600000000000001,0.0599999999999999,0.50382,0.37055,0.21906,0.397301934797343,0.264893962379029,0.180120915408104,0.438055634722064,0.295496822568327,0.202353682311906,0.477420592445663,0.32450408977619,0.226376652108534,0.000106722947955107,0.0034364501142502,0.000632779887160262,4.52409111965091e-05,-4.40438707740576e-05,-0.000308464509002571,-0.00104838932630225,-0.000788423282469197,0.0006117921372162,0.000878646946446651,0.000401482335219441,0.000522746634507578,0.000469752194082596,0.000634607066029668,0.000579208441582677,0.000804142989892316
"10",0.8,0.65,0.0700000000000001,0.07,0.62874,0.48526,0.29201,0.53983329706208,0.384570599134633,0.252283523843887,0.575309320141077,0.413509965215171,0.275877415351596,0.611739823338617,0.444596507600755,0.300940339816431,9.56108784675447e-05,0.00342392385125156,0.000413918094654298,0.000926648420246923,-0.000224489748756773,0.000357387592187286,-0.0011719821909536,-0.000397663782408353,0.000608920428967952,0.000878781682671445,0.000415175380678111,0.000505189349896849,0.000481498612580599,0.000620173681165975,0.000587185391732227,0.000794374762892203
"11",0.8,0.65,0.08,0.08,0.74444,0.60461,0.37578,0.688006639565078,0.524163986431528,0.344325877952854,0.714971000104845,0.549960114344378,0.36665835855877,0.740307585704599,0.573658588608165,0.390881562624638,0.000116777579784344,0.00347185361385338,0.00036946873141952,0.00050399602362694,-0.000248600222031103,4.72338174983822e-05,-0.00117017125537611,-0.000562373974908215,0.000606958712785161,0.000877925793742979,0.000399229351705403,0.000513536520120567,0.000466260402332473,0.000628009313313169,0.000574384803119944,0.00080052033678176
"12",0.9,0.75,0.05,0.05,0.56495,0.46931,0.19915,0.561618777149339,0.438407725611286,0.219395916142485,0.569896866508795,0.449588919623426,0.21857835202565,0.570926281279256,0.449588931579891,0.220448600439031,-0.00794076710164549,0.000568251780271534,-0.0117879583524079,-0.0149344912080336,-0.00921093272813256,-0.0105974816843331,-0.00667801078025476,-0.00649639828213189,0.000452213497515027,0.000902634913107085,0.000673885264454024,0.00128081440141194,0.000613017356105264,0.00118333143226606,0.000542527549933972,0.00106676732615011
"13",0.9,0.75,0.0599999999999999,0.0600000000000001,0.74104,0.65418,0.28635,0.75678503514092,0.651954616582197,0.301197555127118,0.754563176212798,0.651119462407744,0.296501818413129,0.760316462925264,0.6583478700752,0.298457360334642,-0.00792532116234301,0.000528259788751595,-0.0114189408907598,-0.015448887047522,-0.00902565442177716,-0.0109105904902222,-0.00661785326505759,-0.00667076103376718,0.000452748855305628,0.000902792119332728,0.000563901201801056,0.00125985539977532,0.000542957443432379,0.00117358553344188,0.000509215993418549,0.00106370555976099
"14",0.9,0.75,0.07,0.0700000000000001,0.88428,0.82746,0.38967,0.895018080198582,0.827972539988685,0.389737430323545,0.882558490289462,0.80862527755345,0.386326949509546,0.888709006950591,0.817755342160928,0.389331932310013,-0.00792813211619858,0.000543513497114234,-0.0118956937162554,-0.014635944989346,-0.00926295441366021,-0.0105251176217336,-0.00669948069590587,-0.00652609920393565,0.000453369846384587,0.000901668096290907,0.00063493605312885,0.00123591975054895,0.000590502938568215,0.00115707253510827,0.000533402466412496,0.00105525264858437
"15",0.9,0.75,0.08,0.08,0.96938,0.94793,0.50506,0.972553946023808,0.945035949407036,0.500654451771694,0.966408746919059,0.934200525109973,0.489490559961411,0.967813881587969,0.936916596303534,0.489784689378865,-0.0079262530654669,0.000537211176753094,-0.0124424180250191,-0.0162200949228423,-0.00960068987584684,-0.0114455185655631,-0.00686623002139075,-0.00696793909156224,0.000453270022174522,0.000904857398952656,0.000650154537742785,0.00127212656774039,0.000600630208147255,0.00118492183598374,0.00053854864406144,0.00107194308217617
